time_bin,origin,destination,trips
0,botanica,buiucani,1
900,botanica,buiucani,8
1800,botanica,buiucani,8
2700,botanica,buiucani,8
3600,botanica,buiucani,8
4500,botanica,buiucani,8
5400,botanica,buiucani,8
6300,botanica,buiucani,8
7200,botanica,buiucani,8
8100,botanica,buiucani,8
9000,botanica,buiucani,8
9900,botanica,buiucani,8
10800,botanica,buiucani,8
11700,botanica,buiucani,8
12600,botanica,buiucani,8
13500,botanica,buiucani,8
14400,botanica,buiucani,8
15300,botanica,buiucani,8
16200,botanica,buiucani,8
17100,botanica,buiucani,8
18000,botanica,buiucani,8
18900,botanica,buiucani,8
19800,botanica,buiucani,8
20700,botanica,buiucani,8
21600,botanica,buiucani,8
22500,botanica,buiucani,8
23400,botanica,buiucani,8
24300,botanica,buiucani,8
25200,botanica,buiucani,8
26100,botanica,buiucani,8
27000,botanica,buiucani,8
27900,botanica,buiucani,8
28800,botanica,buiucani,8
29700,botanica,buiucani,8
30600,botanica,buiucani,8
31500,botanica,buiucani,8
32400,botanica,buiucani,8
33300,botanica,buiucani,8
34200,botanica,buiucani,8
35100,botanica,buiucani,8
36000,botanica,buiucani,8
36900,botanica,buiucani,8
37800,botanica,buiucani,8
38700,botanica,buiucani,8
39600,botanica,buiucani,8
40500,botanica,buiucani,8
41400,botanica,buiucani,8
42300,botanica,buiucani,8
43200,botanica,buiucani,8
44100,botanica,buiucani,8
45000,botanica,buiucani,8
45900,botanica,buiucani,8
46800,botanica,buiucani,8
47700,botanica,buiucani,8
48600,botanica,buiucani,8
49500,botanica,buiucani,8
50400,botanica,buiucani,8
51300,botanica,buiucani,8
52200,botanica,buiucani,8
53100,botanica,buiucani,8
54000,botanica,buiucani,8
54900,botanica,buiucani,8
55800,botanica,buiucani,8
56700,botanica,buiucani,8
57600,botanica,buiucani,8
58500,botanica,buiucani,8
59400,botanica,buiucani,8
60300,botanica,buiucani,8
61200,botanica,buiucani,8
62100,botanica,buiucani,8
63000,botanica,buiucani,8
63900,botanica,buiucani,8
64800,botanica,buiucani,8
65700,botanica,buiucani,8
66600,botanica,buiucani,8
67500,botanica,buiucani,8
68400,botanica,buiucani,8
69300,botanica,buiucani,8
70200,botanica,buiucani,8
71100,botanica,buiucani,8
72000,botanica,buiucani,8
72900,botanica,buiucani,8
73800,botanica,buiucani,8
74700,botanica,buiucani,8
75600,botanica,buiucani,8
76500,botanica,buiucani,8
77400,botanica,buiucani,8
78300,botanica,buiucani,8
79200,botanica,buiucani,8
80100,botanica,buiucani,8
81000,botanica,buiucani,8
81900,botanica,buiucani,8
82800,botanica,buiucani,8
83700,botanica,buiucani,8
84600,botanica,buiucani,8
85500,botanica,buiucani,8
0,botanica,centru,10
900,botanica,centru,70
1800,botanica,centru,70
2700,botanica,centru,70
3600,botanica,centru,70
4500,botanica,centru,70
5400,botanica,centru,70
6300,botanica,centru,70
7200,botanica,centru,70
8100,botanica,centru,70
9000,botanica,centru,70
9900,botanica,centru,70
10800,botanica,centru,70
11700,botanica,centru,70
12600,botanica,centru,70
13500,botanica,centru,70
14400,botanica,centru,70
15300,botanica,centru,70
16200,botanica,centru,70
17100,botanica,centru,70
18000,botanica,centru,70
18900,botanica,centru,70
19800,botanica,centru,70
20700,botanica,centru,70
21600,botanica,centru,70
22500,botanica,centru,70
23400,botanica,centru,70
24300,botanica,centru,70
25200,botanica,centru,70
26100,botanica,centru,70
27000,botanica,centru,70
27900,botanica,centru,70
28800,botanica,centru,70
29700,botanica,centru,70
30600,botanica,centru,70
31500,botanica,centru,70
32400,botanica,centru,70
33300,botanica,centru,70
34200,botanica,centru,70
35100,botanica,centru,70
36000,botanica,centru,70
36900,botanica,centru,70
37800,botanica,centru,70
38700,botanica,centru,70
39600,botanica,centru,70
40500,botanica,centru,70
41400,botanica,centru,70
42300,botanica,centru,70
43200,botanica,centru,70
44100,botanica,centru,70
45000,botanica,centru,70
45900,botanica,centru,70
46800,botanica,centru,70
47700,botanica,centru,70
48600,botanica,centru,70
49500,botanica,centru,70
50400,botanica,centru,70
51300,botanica,centru,70
52200,botanica,centru,70
53100,botanica,centru,70
54000,botanica,centru,70
54900,botanica,centru,70
55800,botanica,centru,70
56700,botanica,centru,70
57600,botanica,centru,70
58500,botanica,centru,70
59400,botanica,centru,70
60300,botanica,centru,70
61200,botanica,centru,70
62100,botanica,centru,70
63000,botanica,centru,70
63900,botanica,centru,70
64800,botanica,centru,70
65700,botanica,centru,70
66600,botanica,centru,70
67500,botanica,centru,70
68400,botanica,centru,70
69300,botanica,centru,70
70200,botanica,centru,70
71100,botanica,centru,70
72000,botanica,centru,70
72900,botanica,centru,70
73800,botanica,centru,70
74700,botanica,centru,70
75600,botanica,centru,70
76500,botanica,centru,70
77400,botanica,centru,70
78300,botanica,centru,70
79200,botanica,centru,70
