time_bin,origin,destination,trips
0,botanica,buiucani,3
900,botanica,buiucani,24
1800,botanica,buiucani,24
2700,botanica,buiucani,24
3600,botanica,buiucani,24
4500,botanica,buiucani,24
5400,botanica,buiucani,24
6300,botanica,buiucani,24
7200,botanica,buiucani,24
8100,botanica,buiucani,24
9000,botanica,buiucani,24
9900,botanica,buiucani,24
10800,botanica,buiucani,24
11700,botanica,buiucani,24
12600,botanica,buiucani,24
13500,botanica,buiucani,24
14400,botanica,buiucani,24
15300,botanica,buiucani,24
16200,botanica,buiucani,24
17100,botanica,buiucani,24
18000,botanica,buiucani,24
18900,botanica,buiucani,24
19800,botanica,buiucani,24
20700,botanica,buiucani,24
21600,botanica,buiucani,24
22500,botanica,buiucani,24
23400,botanica,buiucani,24
24300,botanica,buiucani,24
25200,botanica,buiucani,24
26100,botanica,buiucani,24
27000,botanica,buiucani,24
27900,botanica,buiucani,24
28800,botanica,buiucani,24
29700,botanica,buiucani,24
30600,botanica,buiucani,24
31500,botanica,buiucani,24
32400,botanica,buiucani,24
33300,botanica,buiucani,24
34200,botanica,buiucani,24
35100,botanica,buiucani,24
36000,botanica,buiucani,24
36900,botanica,buiucani,24
37800,botanica,buiucani,24
38700,botanica,buiucani,24
39600,botanica,buiucani,24
40500,botanica,buiucani,24
41400,botanica,buiucani,24
42300,botanica,buiucani,24
43200,botanica,buiucani,24
44100,botanica,buiucani,24
45000,botanica,buiucani,24
45900,botanica,buiucani,24
46800,botanica,buiucani,24
47700,botanica,buiucani,24
48600,botanica,buiucani,24
49500,botanica,buiucani,24
50400,botanica,buiucani,24
51300,botanica,buiucani,24
52200,botanica,buiucani,24
53100,botanica,buiucani,24
54000,botanica,buiucani,24
54900,botanica,buiucani,24
55800,botanica,buiucani,24
56700,botanica,buiucani,24
57600,botanica,buiucani,24
58500,botanica,buiucani,24
59400,botanica,buiucani,24
60300,botanica,buiucani,24
61200,botanica,buiucani,24
62100,botanica,buiucani,24
63000,botanica,buiucani,24
63900,botanica,buiucani,24
64800,botanica,buiucani,24
65700,botanica,buiucani,24
66600,botanica,buiucani,24
67500,botanica,buiucani,24
68400,botanica,buiucani,24
69300,botanica,buiucani,24
70200,botanica,buiucani,24
71100,botanica,buiucani,24
72000,botanica,buiucani,24
72900,botanica,buiucani,24
73800,botanica,buiucani,24
74700,botanica,buiucani,24
75600,botanica,buiucani,24
76500,botanica,buiucani,24
77400,botanica,buiucani,24
78300,botanica,buiucani,24
79200,botanica,buiucani,24
80100,botanica,buiucani,24
81000,botanica,buiucani,24
81900,botanica,buiucani,24
82800,botanica,buiucani,24
83700,botanica,buiucani,24
84600,botanica,buiucani,24
85500,botanica,buiucani,24
0,botanica,centru,30
900,botanica,centru,210
1800,botanica,centru,210
2700,botanica,centru,210
3600,botanica,centru,210
4500,botanica,centru,210
5400,botanica,centru,210
6300,botanica,centru,210
7200,botanica,centru,210
8100,botanica,centru,210
9000,botanica,centru,210
9900,botanica,centru,210
10800,botanica,centru,210
11700,botanica,centru,210
12600,botanica,centru,210
13500,botanica,centru,210
14400,botanica,centru,210
15300,botanica,centru,210
16200,botanica,centru,210
17100,botanica,centru,210
18000,botanica,centru,210
18900,botanica,centru,210
19800,botanica,centru,210
20700,botanica,centru,210
21600,botanica,centru,210
22500,botanica,centru,210
23400,botanica,centru,210
24300,botanica,centru,210
25200,botanica,centru,210
26100,botanica,centru,210
27000,botanica,centru,210
27900,botanica,centru,210
28800,botanica,centru,210
29700,botanica,centru,210
30600,botanica,centru,210
31500,botanica,centru,210
32400,botanica,centru,210
33300,botanica,centru,210
34200,botanica,centru,210
35100,botanica,centru,210
36000,botanica,centru,210
36900,botanica,centru,210
37800,botanica,centru,210
38700,botanica,centru,210
39600,botanica,centru,210
40500,botanica,centru,210
41400,botanica,centru,210
42300,botanica,centru,210
43200,botanica,centru,210
44100,botanica,centru,210
45000,botanica,centru,210
45900,botanica,centru,210
46800,botanica,centru,210
47700,botanica,centru,210
48600,botanica,centru,210
49500,botanica,centru,210
50400,botanica,centru,210
51300,botanica,centru,210
52200,botanica,centru,210
53100,botanica,centru,210
54000,botanica,centru,210
54900,botanica,centru,210
55800,botanica,centru,210
56700,botanica,centru,210
57600,botanica,centru,210
58500,botanica,centru,210
59400,botanica,centru,210
60300,botanica,centru,210
61200,botanica,centru,210
62100,botanica,centru,210
63000,botanica,centru,210
63900,botanica,centru,210
64800,botanica,centru,210
65700,botanica,centru,210
66600,botanica,centru,210
67500,botanica,centru,210
68400,botanica,centru,210
69300,botanica,centru,210
70200,botanica,centru,210
71100,botanica,centru,210
72000,botanica,centru,210
72900,botanica,centru,210
73800,botanica,centru,210
74700,botanica,centru,210
75600,botanica,centru,210
76500,botanica,centru,210
77400,botanica,centru,210
78300,botanica,centru,210
79200,botanica,centru,210
80100,botanica,centru,210
81000,botanica,centru,210
81900,botanica,centru,210
82800,botanica,centru,210
83700,botanica,centru,210
84600,botanica,centru,210
85500,botanica,centru,210
0,botanica,ciocana,3
900,botanica,ciocana,15
1800,botanica,ciocana,15
2700,botanica,ciocana,15
3600,botanica,ciocana,15
4500,botanica,ciocana,15
5400,botanica,ciocana,15
6300,botanica,ciocana,15
7200,botanica,ciocana,15
8100,botanica,ciocana,15
9000,botanica,ciocana,15
9900,botanica,ciocana,15
10800,botanica,ciocana,15
11700,botanica,ciocana,15
12600,botanica,ciocana,15
13500,botanica,ciocana,15
14400,botanica,ciocana,15
15300,botanica,ciocana,15
16200,botanica,ciocana,15
17100,botanica,ciocana,15
18000,botanica,ciocana,15
18900,botanica,ciocana,15
19800,botanica,ciocana,15
20700,botanica,ciocana,15
21600,botanica,ciocana,15
22500,botanica,ciocana,15
23400,botanica,ciocana,15
24300,botanica,ciocana,15
25200,botanica,ciocana,15
26100,botanica,ciocana,15
27000,botanica,ciocana,15
27900,botanica,ciocana,15
28800,botanica,ciocana,15
29700,botanica,ciocana,15
30600,botanica,ciocana,15
31500,botanica,ciocana,15
32400,botanica,ciocana,15
33300,botanica,ciocana,15
34200,botanica,ciocana,15
35100,botanica,ciocana,15
36000,botanica,ciocana,15
36900,botanica,ciocana,15
37800,botanica,ciocana,15
38700,botanica,ciocana,15
39600,botanica,ciocana,15
40500,botanica,ciocana,15
41400,botanica,ciocana,15
42300,botanica,ciocana,15
43200,botanica,ciocana,15
44100,botanica,ciocana,15
45000,botanica,ciocana,15
45900,botanica,ciocana,15
46800,botanica,ciocana,15
47700,botanica,ciocana,15
48600,botanica,ciocana,15
49500,botanica,ciocana,15
50400,botanica,ciocana,15
51300,botanica,ciocana,15
52200,botanica,ciocana,15
53100,botanica,ciocana,15
54000,botanica,ciocana,15
54900,botanica,ciocana,15
55800,botanica,ciocana,15
56700,botanica,ciocana,15
57600,botanica,ciocana,15
58500,botanica,ciocana,15
59400,botanica,ciocana,15
60300,botanica,ciocana,15
61200,botanica,ciocana,15
62100,botanica,ciocana,15
63000,botanica,ciocana,15
63900,botanica,ciocana,15
64800,botanica,ciocana,15
65700,botanica,ciocana,15
66600,botanica,ciocana,15
67500,botanica,ciocana,15
68400,botanica,ciocana,15
69300,botanica,ciocana,15
70200,botanica,ciocana,15
71100,botanica,ciocana,15
72000,botanica,ciocana,15
72900,botanica,ciocana,15
73800,botanica,ciocana,15
74700,botanica,ciocana,15
75600,botanica,ciocana,15
76500,botanica,ciocana,15
77400,botanica,ciocana,15
78300,botanica,ciocana,15
79200,botanica,ciocana,15
80100,botanica,ciocana,15
81000,botanica,ciocana,15
81900,botanica,ciocana,15
82800,botanica,ciocana,15
83700,botanica,ciocana,15
84600,botanica,ciocana,15
85500,botanica,ciocana,15
0,botanica,durlesti,3
900,botanica,durlesti,12
1800,botanica,durlesti,12
2700,botanica,durlesti,12
3600,botanica,durlesti,12
4500,botanica,durlesti,12
5400,botanica,durlesti,12
6300,botanica,durlesti,12
7200,botanica,durlesti,12
8100,botanica,durlesti,12
9000,botanica,durlesti,12
9900,botanica,durlesti,12
10800,botanica,durlesti,12
11700,botanica,durlesti,12
12600,botanica,durlesti,12
13500,botanica,durlesti,12
14400,botanica,durlesti,12
15300,botanica,durlesti,12
16200,botanica,durlesti,12
17100,botanica,durlesti,12
18000,botanica,durlesti,12
18900,botanica,durlesti,12
19800,botanica,durlesti,12
20700,botanica,durlesti,12
21600,botanica,durlesti,12
22500,botanica,durlesti,12
23400,botanica,durlesti,12
24300,botanica,durlesti,12
25200,botanica,durlesti,12
26100,botanica,durlesti,12
27000,botanica,durlesti,12
27900,botanica,durlesti,12
28800,botanica,durlesti,12
29700,botanica,durlesti,12
30600,botanica,durlesti,12
31500,botanica,durlesti,12
32400,botanica,durlesti,12
33300,botanica,durlesti,12
34200,botanica,durlesti,12
35100,botanica,durlesti,12
36000,botanica,durlesti,12
36900,botanica,durlesti,12
37800,botanica,durlesti,12
38700,botanica,durlesti,12
39600,botanica,durlesti,12
40500,botanica,durlesti,12
41400,botanica,durlesti,12
42300,botanica,durlesti,12
43200,botanica,durlesti,12
44100,botanica,durlesti,12
45000,botanica,durlesti,12
45900,botanica,durlesti,12
46800,botanica,durlesti,12
47700,botanica,durlesti,12
48600,botanica,durlesti,12
49500,botanica,durlesti,12
50400,botanica,durlesti,12
51300,botanica,durlesti,12
52200,botanica,durlesti,12
53100,botanica,durlesti,12
54000,botanica,durlesti,12
54900,botanica,durlesti,12
55800,botanica,durlesti,12
56700,botanica,durlesti,12
57600,botanica,durlesti,12
58500,botanica,durlesti,12
59400,botanica,durlesti,12
60300,botanica,durlesti,12
61200,botanica,durlesti,12
62100,botanica,durlesti,12
