edge_id,congested_intervals,total_congested_min,mean_speed_ms,max_waiting,peak_flow,rank
-236407578#0,96,1440,0.9413541666666667,0.0,53.0,1
-236573424#0,96,1440,0.9407291666666667,0.0,23.0,2
868561195#1,96,1440,3.4929166666666664,0.0,33.0,3
-161807631,96,1440,1.6522916666666667,0.0,99.0,4
-236319222#0,96,1440,1.18,0.0,68.0,5
-147647064,96,1440,0.8960416666666666,0.0,31.0,6
-236320241,96,1440,2.3840625,0.0,75.0,7
-237157431,96,1440,1.9921875,0.0,11.0,8
-24797068#0,96,1440,0.34822916666666665,0.0,25.0,9
74009530#2,96,1440,1.1736458333333333,0.0,35.0,10
