edge_id,mean_speed_kmh,mean_speed_rel,freeflow_kmh,length_m,sample_count,peak_flow
-741579902#0,0.01,0.0003,50.0,149.8,5532,1383.0
48216569#1,0.14,0.0028,50.0,54.8,1893,473.2
32888670#3,0.09,0.0013,70.0,355.1,50380,12595.0
58609935#1,0.13,0.0027,50.0,132.3,4792,1198.0
861035192#1,0.1,0.0019,50.0,99.6,3604,901.0
32888670#2,0.1,0.0014,70.0,322.6,45010,11252.5
:273707164_0,0.13,0.0026,50.0,50.0,13910,3477.5
320659931#2,0.15,0.003,50.0,56.5,1913,478.2
876446942#1,0.21,0.0042,50.0,130.6,4762,1190.5
-47294383#1,0.11,0.0013,80.0,209.2,7711,1927.8
861035192#3,0.08,0.0017,50.0,4.5,209,52.2
722968031#1,0.17,0.0033,50.0,128.5,4764,1191.0
683997239,0.06,0.0013,50.0,20.7,2717,679.2
94519601#1,0.14,0.0027,50.0,116.9,8291,2072.8
-47294383#4,0.12,0.0014,80.0,185.5,6863,1715.8
433303120#19,0.08,0.0017,50.0,6.6,236,59.0
142453044#1,0.23,0.0045,50.0,128.3,4442,1110.5
74009530#1,0.1,0.0019,50.0,76.5,2620,655.0
27616598#3,0.13,0.0013,100.0,21.2,776,194.0
-741579902#1,0.08,0.0016,50.0,177.2,6482,1620.5
310960965#1,0.17,0.0034,50.0,120.6,4247,1061.8
320659931#1,0.15,0.0029,50.0,60.0,2117,529.2
27883385#7,0.05,0.0009,50.0,36.1,1384,346.0
894446061#1,0.08,0.0016,50.0,45.4,1680,420.0
-90778325#0,0.05,0.005,10.0,33.6,1291,322.8
27350341#2,0.3,0.0043,70.0,193.9,23440,5860.0
24848595,0.32,0.0065,50.0,52.1,899,224.8
236588329#1,0.07,0.0013,50.0,126.4,4494,1123.5
876451706#0,0.1,0.002,50.0,120.5,4318,1079.5
464115347#0,0.04,0.0008,50.0,8.0,479,119.8
52456838#3,0.11,0.0022,50.0,36.8,1311,327.8
861035192#0,0.1,0.0019,50.0,84.2,3122,780.5
875071147#6,0.13,0.0025,50.0,54.5,1926,481.5
24961819#4,0.08,0.0016,50.0,160.1,11729,2932.2
-741579902#3,0.07,0.0014,50.0,46.6,1690,422.5
27350346#1,0.0,0.0,50.0,0.2,623,155.8
-741579902#4,0.1,0.0019,50.0,37.9,1259,314.8
25128485#1,0.11,0.0023,50.0,19.8,1340,335.0
433303120#22,0.1,0.0021,50.0,20.6,719,179.8
311137952#1,0.34,0.0067,50.0,122.9,4503,1125.8
47294383#4,0.07,0.0009,80.0,185.5,6740,1685.0
52456838#4,0.07,0.0015,50.0,112.2,4124,1031.0
25128485#0,0.13,0.0025,50.0,28.9,2057,514.2
584676297,0.19,0.0038,50.0,63.7,6152,1538.0
236573417,0.07,0.0013,50.0,37.5,1439,359.8
-1138014595#6,0.09,0.0018,50.0,16.2,615,153.8
25589161,0.27,0.0053,50.0,25.6,1575,393.8
25128488,0.13,0.0025,50.0,49.8,3450,862.5
554653707,0.08,0.0016,50.0,12.8,862,215.5
26178559#8,0.1,0.002,50.0,200.4,7199,1799.8
-741579906#1,0.08,0.0077,10.0,31.7,1201,300.2
46909906#10,0.1,0.002,50.0,80.3,3115,778.8
40123696#1,0.2,0.004,50.0,55.6,6399,1599.8
105647271,0.11,0.0021,50.0,206.8,22716,5679.0
:286673365_4,0.05,0.0011,50.0,50.0,357,89.2
27404607#3,0.1,0.002,50.0,121.1,8447,2111.8
-33080370#3,0.12,0.0025,50.0,107.3,3837,959.2
310930243#6,0.06,0.0012,50.0,34.1,1317,329.2
959754373,0.69,0.0138,50.0,43.5,1019,254.8
:2441326781_1,0.3,0.006,50.0,50.0,1165,291.2
-32726479#0,0.07,0.0014,50.0,89.9,3361,840.2
-569603041#0,0.11,0.0022,50.0,229.3,8451,2112.8
:6381064062_5,0.11,0.0022,50.0,50.0,990,247.5
433303120#23,0.1,0.002,50.0,65.1,2398,599.5
105647267#0,0.12,0.0024,50.0,96.7,10227,2556.8
24961852#0,0.13,0.0025,50.0,93.3,3409,852.2
-32726478#8,0.11,0.0023,50.0,110.7,4075,1018.8
